County,Rate,95% LCL,95% UCL,Count,Stability,Year
San Luis Obispo,8.13,5.18,12.63,21,Rate is stable,2019
Alameda,8.09,6.81,9.57,144,Rate is stable,2020
Yuba,8.08,4.14,19.46,5,Rate may be unstable,2016
San Benito,7.98,4.27,19.37,5,Rate may be unstable,2019
Mariposa,7.91,8.62,50.14,1,"Rate is unstable, interpret with caution",2012
California,7.9,7.63,8.19,3244,Rate is stable,2019
San Mateo,7.87,6.05,10.13,65,Rate is stable,2019
Contra Costa,7.86,6.31,9.7,91,Rate is stable,2019
San Diego,7.83,6.91,8.86,264,Rate is stable,2012
Amador,7.82,3.89,26.28,5,Rate may be unstable,2019
San Diego,7.81,6.91,8.8,284,Rate is stable,2017
Calaveras,7.79,7.15,25.55,4,Rate may be unstable,2019
San Luis Obispo,7.76,4.76,12.31,21,Rate is stable,2017
Merced,7.74,4.77,12.11,20,Rate is stable,2019
Santa Clara,7.73,6.54,9.09,154,Rate is stable,2021
Santa Barbara,7.7,5.31,10.96,34,Rate is stable,2015
San Francisco,7.66,6.01,9.87,75,Rate is stable,2013
Fresno,7.63,5.92,9.71,70,Rate is stable,2014
San Diego,7.63,6.72,8.64,260,Rate is stable,2013
Ventura,7.59,5.86,9.74,65,Rate is stable,2013
Butte,7.57,4.36,12.71,17,Rate is stable,2017
Orange,7.56,6.64,8.58,252,Rate is stable,2014
Orange,7.5,6.59,8.51,255,Rate is stable,2017
Orange,7.49,6.57,8.51,245,Rate is stable,2013
Santa Barbara,7.48,5.04,10.85,32,Rate is stable,2017
Butte,7.48,4.36,12.44,18,Rate is stable,2015
Trinity,7.47,12.66,57.63,2,Rate may be unstable,2018
Orange,7.46,6.55,8.47,252,Rate is stable,2018
Sacramento,7.39,6.11,8.88,119,Rate is stable,2019
Placer,7.39,4.94,10.74,30,Rate is stable,2019
San Diego,7.39,6.51,8.36,268,Rate is stable,2018
Orange,7.39,6.49,8.39,251,Rate is stable,2015
Santa Barbara,7.38,4.98,10.69,32,Rate is stable,2016
Kings,7.36,3.66,13.78,10,Rate may be unstable,2020
Imperial,7.34,3.77,13.2,12,Rate is stable,2016
Ventura,7.34,5.62,9.48,64,Rate is stable,2014
Solano,7.32,5.02,10.43,34,Rate is stable,2019
Merced,7.3,4.48,11.51,20,Rate is stable,2018
Fresno,7.28,5.67,9.25,70,Rate is stable,2016
Del Norte,7.25,3.95,29.32,2,"Rate is unstable, interpret with caution",2014
Modoc,7.16,7.8,75.14,1,Rate may be unstable,2015
Sacramento,7.16,5.87,8.66,111,Rate is stable,2013
San Diego,7.1,6.24,8.06,253,Rate is stable,2016
Santa Clara,7.09,5.97,8.39,143,Rate is stable,2020
Santa Barbara,7.09,4.84,10.21,33,Rate is stable,2018
Butte,7.08,4,12.08,17,Rate is stable,2016
Imperial,7.02,3.68,12.67,12,Rate is stable,2019
Fresno,7.01,5.46,8.9,71,Rate is stable,2020
Calaveras,7,12.01,24.71,2,Rate may be unstable,2020
San Luis Obispo,6.96,4.27,11.18,21,Rate is stable,2016
Trinity,6.95,11.85,54.6,2,Rate may be unstable,2015
San Diego,6.95,6.1,7.91,245,Rate is stable,2014
San Diego,6.94,6.08,7.89,248,Rate is stable,2015
Glenn,6.91,11.71,28.79,2,Rate may be unstable,2013
Mono,6.89,7.51,49.59,1,"Rate is unstable, interpret with caution",2016
Monterey,6.82,4.68,9.73,31,Rate is stable,2022
Contra Costa,6.82,5.4,8.51,82,Rate is stable,2018
Sacramento,6.81,5.58,8.26,107,Rate is stable,2020
Colusa,6.8,3.71,34.34,2,"Rate is unstable, interpret with caution",2016
San Joaquin,6.8,5.09,8.97,53,Rate is stable,2016
Fresno,6.8,5.2,8.79,62,Rate is stable,2015
Madera,6.79,3.65,12.24,12,Rate is stable,2022
Sonoma,6.79,4.71,9.6,37,Rate is stable,2015
Madera,6.77,3.25,12.79,10,Rate may be unstable,2014
Imperial,6.77,3.62,12.09,12,Rate is stable,2014
Imperial,6.75,3.37,12.36,11,Rate may be unstable,2013
Los Angeles,6.7,6.21,7.22,707,Rate is stable,2019
Siskiyou,6.63,4.74,24.39,3,Rate may be unstable,2014
Santa Cruz,6.59,3.94,10.7,18,Rate is stable,2017
Marin,6.59,3.71,11.21,15,Rate is stable,2017
San Luis Obispo,6.58,3.87,10.77,18,Rate is stable,2014
Butte,6.55,3.71,11.2,17,Rate is stable,2018
Orange,6.53,5.68,7.49,214,Rate is stable,2012
Merced,6.52,3.85,10.7,17,Rate is stable,2013
Solano,6.51,4.33,9.51,29,Rate is stable,2014
Madera,6.48,3.23,12.18,11,Rate may be unstable,2016
Yolo,6.47,3.48,11.41,13,Rate is stable,2015
San Luis Obispo,6.35,3.69,10.52,18,Rate is stable,2012
Marin,6.34,3.4,11.08,14,Rate is stable,2016
San Benito,6.33,1.72,17.12,4,Rate may be unstable,2020
Plumas,6.28,6.84,43.77,1,"Rate is unstable, interpret with caution",2020
Nevada,6.28,3.87,14.6,7,Rate may be unstable,2018
Amador,6.26,2.27,27.05,3,"Rate is unstable, interpret with caution",2013
Riverside,6.18,5.21,7.29,146,Rate is stable,2014
El Dorado,6.15,2.89,11.88,9,Rate may be unstable,2016
Yuba,6.14,2.81,16.64,4,Rate may be unstable,2015
Colusa,6.14,6.7,34.5,1,"Rate is unstable, interpret with caution",2012
San Joaquin,6.12,4.47,8.23,46,Rate is stable,2015
San Bernardino,6.1,5.09,7.27,133,Rate is stable,2019
Monterey,6.09,3.96,9.13,26,Rate is stable,2013
Sonoma,5.99,4.04,8.69,30,Rate is stable,2017
Kern,5.99,4.51,7.89,54,Rate is stable,2016
Siskiyou,5.98,3.25,23.82,2,"Rate is unstable, interpret with caution",2019
Stanislaus,5.96,4.19,8.37,35,Rate is stable,2018
San Francisco,5.95,4.54,7.93,58,Rate is stable,2012
Kings,5.94,2.79,12.18,9,Rate may be unstable,2013
Monterey,5.91,3.88,8.83,25,Rate is stable,2012
Merced,5.89,3.38,10.04,14,Rate is stable,2014
Napa,5.87,3.83,11.7,8,Rate may be unstable,2015
Monterey,5.85,3.77,8.73,25,Rate is stable,2020
Butte,5.83,2.94,10.66,12,Rate is stable,2019
California,5.82,5.59,6.06,2428,Rate is stable,2018
El Dorado,5.8,2.67,11.27,10,Rate may be unstable,2019
San Joaquin,5.8,4.21,7.94,40,Rate is stable,2012
Butte,5.79,4.38,10.36,14,Rate is stable,2014
Alameda,5.75,4.69,7,103,Rate is stable,2019
Riverside,5.74,4.83,6.79,144,Rate is stable,2018
Sonoma,5.73,3.85,8.32,31,Rate is stable,2014
Madera,5.71,4.12,10.88,10,Rate is stable,2015
Riverside,5.67,4.76,6.73,140,Rate is stable,2017
Ventura,5.64,4.21,7.47,53,Rate is stable,2015
Monterey,5.61,3.69,8.28,27,Rate is stable,2021
Riverside,5.55,4.66,6.58,135,Rate is stable,2015
Santa Barbara,5.54,3.58,8.37,26,Rate is stable,2019
Riverside,5.53,4.62,6.59,129,Rate is stable,2013
Mariposa,5.51,6.01,46.39,1,"Rate is unstable, interpret with caution",2017
Nevada,5.5,3,13.73,6,Rate may be unstable,2017
Marin,5.46,2.96,9.69,14,Rate is stable,2012
Shasta,5.43,2.73,10.69,10,Rate may be unstable,2018
Kern,5.39,3.92,7.33,45,Rate is stable,2013
Stanislaus,5.37,3.58,7.82,29,Rate is stable,2015
Fresno,5.37,3.98,7.16,50,Rate is stable,2013
Yuba,5.36,2.54,14.71,4,Rate may be unstable,2018
Riverside,5.32,4.41,6.38,120,Rate is stable,2012
San Joaquin,5.3,3.76,7.32,39,Rate is stable,2019
San Benito,5.23,3.94,17.02,3,Rate may be unstable,2015
Santa Barbara,5.23,3.31,8.04,22,Rate is stable,2014
California,5.22,5,5.45,2194,Rate is stable,2017
Kern,5.22,3.86,7.05,45,Rate is stable,2012
Napa,5.2,3.29,11.12,8,Rate may be unstable,2020
Sonoma,5.09,3.4,7.56,25,Rate is stable,2012
Nevada,5.07,1.56,13.57,5,Rate may be unstable,2014
Ventura,5.01,3.62,6.82,44,Rate is stable,2016
California,4.92,4.71,5.15,2024,Rate is stable,2014
Sutter,4.91,2.57,12.33,5,Rate may be unstable,2012
Madera,4.87,1.99,10.25,7,Rate may be unstable,2020
California,4.87,4.66,5.09,2039,Rate is stable,2016
Fresno,4.86,3.58,6.5,48,Rate is stable,2019
San Mateo,4.83,3.47,6.65,39,Rate is stable,2018
Sonoma,4.83,3.08,7.32,25,Rate is stable,2016
Placer,4.79,2.85,7.74,18,Rate is stable,2017
California,4.79,4.58,5.01,1992,Rate is stable,2015
California,4.79,4.58,5.01,1934,Rate is stable,2013
Fresno,4.79,3.45,6.54,42,Rate is stable,2012
San Bernardino,4.77,3.89,5.82,106,Rate is stable,2018
San Mateo,4.75,3.39,6.55,40,Rate is stable,2017
Glenn,4.71,5.13,27.3,1,"Rate is unstable, interpret with caution",2018
Solano,4.68,2.83,7.42,20,Rate is stable,2015
Del Norte,4.67,5.09,25.95,1,"Rate is unstable, interpret with caution",2019
Merced,4.67,2.51,8.27,13,Rate is stable,2017
Sacramento,4.64,3.62,5.91,70,Rate is stable,2018
Riverside,4.63,3.81,5.59,114,Rate is stable,2016
Yolo,4.63,2.27,8.88,11,Rate may be unstable,2014
Butte,4.63,3.24,8.98,10,Rate is stable,2013
San Benito,4.63,3.49,16.88,3,Rate may be unstable,2012
Calaveras,4.61,3.15,21.95,3,Rate may be unstable,2013
San Benito,4.6,1.67,16.67,3,"Rate is unstable, interpret with caution",2014
Fresno,4.58,3.35,6.17,47,Rate is stable,2017
Del Norte,4.58,4.99,24.38,1,"Rate is unstable, interpret with caution",2012
Los Angeles,4.57,4.17,4.99,497,Rate is stable,2018
Imperial,4.57,2.02,9.38,8,Rate may be unstable,2017
Mariposa,4.56,4.97,43.5,1,"Rate is unstable, interpret with caution",2015
Santa Barbara,4.55,2.63,7.42,17,Rate is stable,2013
Kings,4.52,2.83,10.08,6,Rate may be unstable,2017
Contra Costa,4.52,3.37,5.97,52,Rate is stable,2014
Monterey,4.46,2.75,6.98,20,Rate is stable,2019
Yuba,4.46,8.98,13.63,3,Rate is stable,2014
Nevada,4.42,4.33,12.03,6,Rate may be unstable,2012
Contra Costa,4.38,3.27,5.79,53,Rate is stable,2016
Sutter,4.36,3.76,11.63,4,Rate may be unstable,2016
Contra Costa,4.35,3.25,5.74,52,Rate is stable,2017
Trinity,4.33,4.72,52.46,1,"Rate is unstable, interpret with caution",2017
California,4.3,4.09,4.51,1712,Rate is stable,2012
San Luis Obispo,4.29,2.19,7.91,13,Rate is stable,2018
Yolo,4.29,1.95,8.61,9,Rate may be unstable,2016
Tulare,4.29,2.63,6.89,18,Rate is stable,2013
Yolo,4.25,1.9,8.73,8,Rate may be unstable,2013
